#SampleID,BarcodeSequence,LinkerPrimerSequence,Platform,Project,RunDate,Index1,Description,Index1,Index2,Campaign ,Year,Month,Depth_m,Oxidation_Zone,Light_Zone,Biologic_Zone,Depth_DGT,Cu_DGT,Cu_diss,Cu_part,Cu_tot,Fe_DGT,Fe_diss,Fe_part,Fe_tot,Mn_DGT,Mn_diss,Mn_par,Mn_tot,DOC,DIC,TC,CH4,13CH4,O2,pH,Cond,Light,Turb,Chla,NO3,NO2,SO4,PO4,Stot,NH4,16S_corr_copies/L,MOB_corr_%,MOB_corr_copies/L,alpha_corr_%,alpha_corr_copies/L,gamma_corr_%,gamma_corr_copies/L,pmoA_copies/L,pmoA_corr_%,mmoX_copies/L,mmoX_%,Crenothrichaceae_%,Methylococcaceae_corr_%,verruco_corr_%,verruco_corr_copies/L,LD19_corr_%,LD19_corr_copies/L,Verruco_corr_tot_%,Verruco_corr_tot_copies/L,pmoA_copies/L/2,TDN,Pb_diss,Zn_diss,Cr_tot
A01,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,1,A_June_2013,2013,June,1,Oxic,Photic,AZ1,0.85,2.0615,11.117,1.4201,12.5371,0.2409,141.0431,131.0412,272.0843,51.6669,78.6498,3.0005,81.6503,0.1905,,13.49,0.7085,,361.75,8.0802,205.78,1321.64,0.5885,0.1212,,,,,0,,1674750517,0.0339,566946.1557,0.014,235064.252,0.0027,44581.1512,146103.2864,0.0044,0,0,0.0027,0,0,0,0.0172,287300.7525,0.0172,287300.7525,73051.6432,0.059,0.3696,57.3287,3.3521
A02,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,2,A_June_2013,2013,June,2,Oxic,Photic,AZ1,1.85,1.1574,10.681,1.847,12.528,0,144.6973,135.3197,280.017,44.4304,50.7019,35.8415,86.5433,0.1832,,13.33,0.7293,,363.02,8.0756,204.92,815.18,0.6456,0.31,,,,,0,,2462096950,0.047,1157218.47,0.0136,335966.6525,0,0,162318.8406,0.0033,0,0,0,0,0,0,0.0334,821251.8173,0.0334,821251.8173,81159.4203,0.0543,0.3546,34.4308,3.0701
A03,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,3,A_June_2013,2013,June,3,Oxic,Photic,AZ1,2.85,0.5239,10.5507,1.9642,12.5149,1.9115,131.0367,144.8254,275.8621,42.8411,54.8535,40.2282,95.0818,0.1932,,13.28,0.4121,,363.42,8.0646,204.76,506.58,0.8041,0.48,,,,,0,,2404696637,0.066,1587239.292,0,0,0.0013,32173.7694,246327.6836,0.0051,0,0,0.0013,0,0,0,0.0647,1555065.523,0.0647,1555065.523,123163.8418,0.0567,0.3115,65.4246,3.1661
A04,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,4,A_June_2013,2013,June,4,Oxic,Photic,AZ1,3.9,0.6768,10.9812,3.3878,14.369,1.9413,131.7012,138.9556,270.6568,54.2532,48.6108,51.8997,100.5106,0.2596,,13.16,0.7655,,371.28,8.0534,205.09,353.39,0.8473,0.64,,,,,0,,3585677660,0.0272,634032.046,0,0,0,0,259102.1562,0.0036,0,0,0,0,0,0,0.0272,634032.046,0.0272,634032.046,129551.0781,0.061,0.3376,38.5342,3.2542
A05,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,5,A_June_2013,2013,June,5,Oxic,Photic,AZ1,4.85,0.8298,8.2564,2.214,10.4704,1.971,83.1052,134.156,217.2612,65.6652,73.1779,48.6179,121.7958,0.185,,12.72,0.7667,,409.78,8.1084,205.53,231.52,2.0886,2.54,,,,,0,,2711171946,0.0905,2454087.671,0,0,0.011,297465.1722,229777.7778,0.0042,0,0,0.011,0,0,0,0.0795,2156622.498,0.0795,2156622.498,114888.8889,0.0494,0.1856,28.3406,2.245
A06,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,6,A_June_2013,2013,June,6,Oxycline,Photic,AZ1,5.85,1.3317,5.7389,1.125,6.8639,12.198,25.3247,63.1393,88.464,58.7999,49.3193,52.3016,101.6209,0.2638,,11.01,0.1012,,538.67,8.7091,199.19,138.56,9.8446,17.75,,,,,0,,3788631737,0.0208,786287.502,0,0,0.0049,186225.9873,406666.6667,0.0054,0,0,0.0049,0,0,0,0.0158,600061.5147,0.0158,600061.5147,203333.3333,0.0471,0.0917,57.0788,1.8743
A07,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,7,A_June_2013,2013,June,6.5,Oxycline,Photic,AZ2,6.35,1.2797,4.8903,1.3067,6.1971,1.6146,12.6827,65.3036,77.9863,43.9135,51.9966,41.383,93.3796,0.2365,,7.56,0.1703,,226.81,7.9898,206.37,83.7,16.3521,24.7,,,,,0,,3062044475,0.1415,4332926.44,0,0,0.038,1162734.848,335483.871,0.0055,6940.8602,0.0002,0.038,0,0,0,0.1035,3170191.593,0.1035,3170191.593,167741.9355,0.0586,0.0607,35.745,1.635
A08,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,8,A_June_2013,2013,June,7,Oxycline,Photic,AZ2,6.85,0.478,4.3669,1.1757,5.5426,3.1655,7.1918,71.1122,78.304,38.4175,44.4555,48.3216,92.7772,0.1758,,6.86,0.0233,,93.87,7.6536,207.1,34.7,15.7449,21.71,,,,,0,,1442706723,0.177,2553133.28,0,0,0.0401,578710.2102,147929.2929,0.0051,4929.2929,0.0003,0.0401,0,0,0,0.1369,1974423.07,0.1369,1974423.07,73964.6465,0.0681,0.0392,36.7042,1.9331
A09,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,9,A_June_2013,2013,June,7.5,Oxycline,Photic,AZ2,7.35,0.588,4.7973,0.6721,5.4694,1.2241,8.116,69.72,77.8361,36.4812,45.2607,47.7318,92.9924,0.2124,,6.53,0.0285,,71.49,7.5271,207.62,16.05,7.1625,9.24,,,,,0,,4069884008,0.4084,16611418.98,0,0,0.2785,11328225.91,440104.1667,0.0054,0,0,0.2783,0,0,0,0.1298,5283193.076,0.1298,5283193.076,220052.0833,0.0808,0.0694,44.6938,1.531
A10,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,10,A_June_2013,2013,June,8,Oxycline,Photic,AZ3,7.85,1.9699,4.7428,0.0793,4.8221,0.5495,6.5771,85.5071,92.0842,75.1088,37.9377,78.7488,116.6865,0.1684,,6.18,0.0343,,43.69,7.4661,207.51,9.82,4.0445,4.53,,,,,0,,4027751369,0.6278,25271724.42,0,0,0.4943,19895065.22,781720.4301,0.0097,0,0,0.4939,0,0,0,0.1335,5376659.202,0.1335,5376659.202,390860.2151,0.0818,0.0447,136.153,1.6011
A11,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,11,A_June_2013,2013,June,8.5,Oxycline,Photic,AZ3,8.35,3.137,4.4258,0,4.0488,15.9895,16.1088,104.4901,120.5989,18.3926,41.8481,252.3953,294.2434,0.1652,,6.11,0.0185,,34.39,7.4258,208.76,6.72,3.0794,2.89,,,,,0,,6145476656,0.9241,56736880.72,0.0028,169021.6622,0.6894,42313698.88,948051.9481,0.0077,2709.9567,0,0.6885,0,0,0,0.2319,14254160.18,0.2319,14254160.18,474025.974,0.0876,0.0885,44.5095,1.3592
A12,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,12,A_June_2013,2013,June,9,Oxycline,Photic,AZ3,8.85,3.1331,3.5254,0.503,4.0284,3.24,13.0817,109.4586,122.5403,22.8753,36.2584,380.1095,416.3679,0.2004,,6.1,0.0184,,15.15,7.4064,209.2,4.82,3.6086,3.16,,,,,0,,4843974235,0.9502,45991974.17,0,0,0.7985,38644459.59,988333.3333,0.0102,4183.3333,0.0001,0.7978,0,0,0,0.1517,7347514.574,0.1517,7347514.574,494166.6667,0.0901,0.0443,111.8786,1.1608
A13,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,13,A_June_2013,2013,June,9.5,Oxycline,Photic,AZ3,9.35,2.922,4.3592,0,4.2126,2.0941,16.3275,101.661,117.9885,162.0395,23.6957,315.6705,339.3662,0.2431,,5.98,0.0116,,0.08,7.3894,209.64,3.28,3.5958,1.51,,,,,0,,2964649995,1.3909,41194296.2,0,0,1.1861,35121754.38,1625570.776,0.0274,3105.0228,0.0001,1.1847,0,0,0,0.2048,6072541.815,0.2048,6072541.815,812785.3881,0.0887,0.0882,43.1861,1.4097
A14,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,14,A_June_2013,2013,June,10,Oxycline,Photic,AZ4,9.85,2.8356,4.0187,0,3.8185,0.3283,13.6422,94.7518,108.394,354.0888,24.6443,471.1516,495.7959,0.1861,,5.95,0.038,,0,7.3629,209.99,2.23,3.2519,1.22,,,,,0,,4856744024,2.089,101339750.9,0,0,1.8587,90153443.16,8182389.937,0.0843,11503.1447,0.0002,1.854,0.0022,0,0,0.2303,11186307.7,0.2303,11186307.7,4091194.969,0.0895,0.055,50.7079,1.3499
A15,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,15,A_June_2013,2013,June,10.5,Oxidation_Zone,Photic,AZ4,10.35,2.1566,4.0156,0,3.8102,0,13.3346,103.4886,116.8232,726.3264,49.6497,500.8065,550.4562,0.1793,,5.93,0.7799,,0,7.356,210.03,1.6,3.6599,1.1,,,,,0,,4504567067,1.4668,66024629.36,0,0,1.3291,59819357.32,7296296.296,0.0811,9121.6931,0.0002,1.328,0,0,0,0.1378,6205272.032,0.1378,6205272.032,3648148.148,0.0858,0.066,100.0736,1.2026
A16,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,16,A_June_2013,2013,June,11,Oxidation_Zone,Photic,AZ4,10.85,1.8971,3.0139,2.1182,5.1321,11.3796,8.551,123.594,132.145,662.6493,231.6713,690.7902,922.4615,0.1909,,5.86,15.3057,,0,7.353,210.25,1.25,4.0119,0.86,,,,,0,,3599869208,1.7523,63039994.88,0,0,1.6329,58742578.84,11494791.67,0.1598,0,0,1.6284,0.0034,0.0109,390674.1856,0.1085,3906741.856,0.1194,4297416.042,5747395.833,0.0986,0.0518,37.6186,1.0939
A17,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,17,A_June_2013,2013,June,11.5,Oxidation_Zone,Aphotic,AZ4,11.5,1.5717,3.3245,0.8192,4.1438,6.7068,13.9712,133.0596,147.0308,768.1312,813.565,312.429,1125.994,0.1626,,5.84,17.2502,,0,7.3385,210.96,0.95,3.5433,0.59,,,,,0,,6845652876,1.1676,79853979.75,0.0047,321098.9202,0.9565,65404528.34,4028735.632,0.0295,8942.5287,0.0001,0.9536,0.0018,0,0,0.2064,14128352.49,0.2064,14128352.49,2014367.816,0.0969,0.0768,46.3445,1.2078
A18,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,18,A_June_2013,2013,June,12,Oxidation_Zone,Aphotic,AZ4,11.85,1.2464,2.6856,1.4875,4.1731,2.0339,10.1037,138.1966,148.3003,876.9387,1182.202,354.9802,1276.6711,0.2287,,5.79,0.0329,,0,7.3295,210.94,0.76,3.2298,0.6534,,,,,0,,9376389729,3.4088,319373279.7,0,0,3.2671,306092172,35698924.73,0.1905,11069.8925,0.0001,3.2576,0.0069,0,0,0.1416,13281107.7,0.1416,13281107.7,17849462.37,0.1073,0.0688,107.3681,1.426
A19,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,19,A_June_2013,2013,June,13,Oxidation_Zone,Aphotic,AZ4,12.85,1.9703,2.7732,1.0565,3.8297,3.4566,8.8207,131.54,140.3607,804.2596,942.6492,379.5144,1153.2955,0.1882,,5.74,40.8415,,0,7.3257,210.82,0.51,4.9339,0.52,,,,,0,,7147123930,3.5195,251358161.4,0,0,3.3909,242168103.7,28388888.89,0.1987,16955.5556,0.0002,3.3866,0.0018,0.0117,835459.7916,0.1169,8354597.916,0.1286,9190057.708,14194444.44,0.1041,0.0531,47.5419,1.1374
A20,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,20,A_June_2013,2013,June,14,Oxidation_Zone,Aphotic,AZ5,13.85,1.6864,2.652,1.5627,4.2147,99.8985,34.2902,95.049,129.3391,1355.1048,2458.7751,407.9486,1907.7364,0.199,,5.58,152.2677,,0,7.2543,216.7,0.33,19.9877,1.08,,,,,0.3467,,544898781,1.3695,7458224.418,0,0,1.2601,6861731.015,767018.7793,0.0704,0,0,1.2559,0.0034,0.0036,19883.1135,0.1058,576610.2901,0.1095,596493.4036,383509.3897,0.119,0.103,92.6976,0.9803
A21,NA,NA,MiSeq_PE300,P349,run170407,A,p349_Carole_Guggenheim,A,21,A_June_2013,2013,June,15,Oxidation_Zone,Aphotic,AZ5,14.85,1.5336,1.9759,2.183,4.1589,294.9003,112.4488,161.3296,273.7784,1902.837,2377.9195,440.3073,2729.4605,0.1807,,5.55,277.0769,,0.01,7.1825,221.51,0.1,20.159,1.69,,,,,36.1748,,7432071083,1.6155,120002559,0,0,1.5322,113813009.5,26736111.11,0.18,59791.6667,0.0008,1.5314,0,0.0208,1547387.377,0.0625,4642162.132,0.0833,6189549.509,13368055.56,0.1458,0.2066,26.1283,1.3107
B01,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,1,B_August_2013,2013,August,1,Oxic,Photic,BZ1,1,1.0132,9.1173,5.2817,14.399,5.0749,32.5868,43.3824,75.9692,0,3.9736,19.4563,23.4298,0.2798,1.5867,26.84,1.4532,-59.882,421.52,8.8536,233.68,828.36,2.5677,4.98,20.47,0,139.71,0,0,8.61,2503597334,6.0927,152430955.2,0.1229,2971126.563,0,0,81288.5802,0.0017,0,0,0,0,0,0,5.9698,149459828.6,5.9698,149459828.6,40644.2901,0.0803,0.4892,10426.3821,6.6736
B02,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,2,B_August_2013,2013,August,2,Oxic,Photic,BZ1,2,0.6892,8.5117,2.1367,10.6485,1.8742,33.6411,48.4492,82.0903,0,2.3835,17.8362,20.2197,0.2843,1.5908,26.61,0.0326,-61.882,423.17,8.8469,232.78,509.46,2.5421,5.32,20.24,0,136.95,0,0,0,3192755933,6.0558,193072538.1,0.2582,7970884.601,0,0,108638.7435,0.0018,4816.7539,0.0002,0,0,0,0,5.7976,185101653.5,5.7976,185101653.5,54319.3717,0.1041,1.0557,8768.1756,3.7695
B03,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,3,B_August_2013,2013,August,3,Oxic,Photic,BZ1,3,0.8786,9.1804,0.9487,10.1291,0.5446,37.1604,45.682,82.8424,0,4.1438,31.5016,35.6454,0.2596,1.59,25.88,1.9626,-61.092,546.1,8.8756,223.84,325.34,2.8661,4.1,19.71,0,137.83,0,0,3.18,1723932686,2.418,41658921.04,0.1114,1896015.675,0.0018,29965.765,81414.1414,0.0024,0,0,0.0017,0,0,0,2.3048,39732939.6,2.3048,39732939.6,40707.0707,0.0781,0.6833,4315.5476,2.6733
B04,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,4,B_August_2013,2013,August,4,Oxic,Photic,BZ1,4,1.6162,9.2984,1.7225,11.0209,7.6892,44.6862,52.2607,96.9469,0,5.7412,20.0856,25.8268,0.228,1.6583,24.14,2.9353,-60.482,611.06,8.847,220.74,196.27,5.2987,13.21,23.31,0,138.67,0,0,3.04,1828942061,2.2947,41925816.98,0.1735,3134816.915,0.0188,339733.8529,124250.2142,0.0034,0,0,0.0116,0.007,0,0,2.1024,38451266.21,2.1024,38451266.21,62125.1071,0.076,0.4206,2949.5408,2.2181
B05,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,5,B_August_2013,2013,August,5,Oxic,Photic,BZ2,5,0.9615,9.5336,0.8211,10.3547,1.8764,60.8783,70.4376,131.3158,0,7.8928,31.964,39.8568,0.2331,2.2158,20.82,2.8298,-55.012,452.41,8.6186,250.43,74.83,7.4469,14.89,29.21,0,139.3,0,0,8.71,1542642442,0.4495,6930237.564,0.0423,651934.4041,0.1541,2373940.451,352777.7778,0.0115,0,0,0.0801,0.0737,0,0,0.2531,3904362.709,0.2531,3904362.709,176388.8889,0.0814,0.3771,663.0977,2.0771
B06,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,6,B_August_2013,2013,August,5.5,Oxic,Photic,BZ2,5.5,1.0259,16.2952,1.2726,17.5678,0.7244,86.7489,74.8194,161.5682,0,12.5213,42.843,55.3643,0.2296,2.3575,17.68,0.7282,-30.178,420.45,8.5009,249.97,56.4,5.4677,12.71,28.34,8.909,137.91,0,0,11.73,2516599599,0.2307,5804666.366,0.0141,355450.2719,0.0871,2190921.935,511513.1579,0.0102,0,0,0.0643,0.0228,0,0,0.1295,3258294.159,0.1295,3258294.159,255756.5789,0.0632,0.1715,2.4819,1.7976
B07,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,7,B_August_2013,2013,August,6,Oxic,Photic,BZ2,6,0.9349,7.3436,0.6483,7.9919,0,90.3408,72.6306,162.9714,0,14.7624,43.2053,57.9677,0.2301,2.44,15.43,0.1995,-17.288,401.23,8.4505,245.99,37.97,4.0026,8.25,27.46,8.949,136,0,0,10.99,1523963744,0.1421,2165539.946,0.0101,154427.8486,0.0577,878641.2078,297445.2555,0.0098,0,0,0.0577,0,0,0,0.0743,1132470.89,0.0743,1132470.89,148722.6277,0.0647,0.2371,8.4911,1.8646
B08,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,8,B_August_2013,2013,August,6.5,Oxic,Photic,BZ2,6.5,0.5755,6.744,0.1323,6.8764,0.2551,94.1736,48.4098,142.5835,0,19.3574,43.4646,62.822,0.2391,2.5225,13.43,0.2396,-12.258,403.81,8.4878,239.36,29.13,3.3615,8.83,26.3,9.045,131.2,0,0,0,1523724440,0.1159,1765483.208,0,0,0.0754,1148627.629,301212.1212,0.0099,0,0,0.0754,0,0,0,0.0405,616855.5787,0.0405,616855.5787,150606.0606,0.0744,0.2295,9.5383,1.4226
B09,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,9,B_August_2013,2013,August,7,Oxycline,Photic,BZ2,7,0.2479,5.7628,0.0423,5.8051,0,108.6839,57.2128,165.8966,0,19.7176,54.4891,74.2067,0.2253,2.57,12.84,0.3156,-19.372,388.64,8.5394,233.83,20.29,3.6424,13.6,24.53,9.12,132.02,0,0,9.42,2108690239,0.1041,2194293.375,0,0,0.0793,1672699.048,253551.9126,0.006,0,0,0.0793,0,0,0,0.0247,521594.3269,0.0247,521594.3269,126775.9563,0.1333,2.2259,40.0363,1.6966
B10,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,10,B_August_2013,2013,August,7.5,Oxycline,Photic,BZ2,7.5,0.5319,5.2082,4.1738,9.382,0,110.5035,63.166,173.6696,3.0721,29.1391,72.0561,101.1952,0.2381,2.6708,10.74,0.0377,-33.388,366.44,8.4398,230.41,14.735,4.2159,12.2,20.47,9.11,126.91,0,0,9.98,2681427626,0.0652,1748107.67,0.0059,157874.0837,0.0413,1107840.553,372131.1475,0.0069,0,0,0.0413,0,0,0,0.018,482393.0335,0.018,482393.0335,186065.5738,0.0497,0.2534,3.595,1.1516
B11,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,11,B_August_2013,2013,August,8,Oxidation_Zone,Photic,BZ2,8,0.4384,5.1826,0,4.9127,0.1464,110.9294,66.3181,177.2475,25.7124,52.3166,73.6137,125.9304,0.2309,2.8333,9.71,1.0591,-31.258,313.32,8.2599,228.23,9.18,4.5551,15.53,17.17,9.072,125.62,0,0,14.22,1510482895,0.2963,4475595.674,0,0,0.2861,4321995.349,750000,0.0248,0,0,0.2861,0,0,0,0.0102,153600.3249,0.0102,153600.3249,375000,0.0698,0.7309,17.2885,1.2245
B12,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,12,B_August_2013,2013,August,8.5,Oxidation_Zone,Photic,BZ3,8.5,0.5031,3.8989,0.9978,4.8967,2.5829,81.0236,52.466,133.4896,70.2096,49.9451,69.4329,119.378,0.2276,3.0275,9,7.4253,-50.562,182.96,8.0563,226.58,6.325,3.8417,22.21,13.23,0,124.62,0,0,23.36,1223741832,0.231,2826224.934,0,0,0.2177,2664247.615,672307.6923,0.0275,12046.1538,0.001,0.2177,0,0,0,0.0132,161977.3183,0.0132,161977.3183,336153.8462,0.1219,1.475,50.5381,1.6776
B13,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,13,B_August_2013,2013,August,9,Oxidation_Zone,Photic,BZ4,9,0.2805,1.2812,5.0265,6.3078,5.5738,61.1368,77.2427,138.3795,852.0829,2829.003,579.3196,3408.3226,0.2204,3.1192,8.19,53.2889,-66.752,47.97,7.8472,227.09,3.47,3.2729,9.55,0,0,121.71,0,0,72.73,3195459065,0.2589,8272268.289,0,0,0.2589,8272268.289,2378410.439,0.0372,9240.8066,0.0003,0.2589,0,0,0,0,0,0,0,1189205.22,0.1451,0.2186,10.6886,1.4018
B14,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,14,B_August_2013,2013,August,9.5,Oxidation_Zone,Photic,BZ5,9.5,0.0248,1.075,8.4932,9.5682,38.0413,55.7192,66.0761,121.7953,2809.9086,2901.0439,716.1148,3617.1587,0.2121,3.185,7.37,97.819,-70.682,0.32,7.7042,227.12,2.24,11.6886,23.65,0,0,118.08,0,1.3671,89.47,4902481558,1.7629,86395296.09,0.0037,182870.1718,1.6999,83306822.08,17719298.25,0.1808,38596.4912,0.0008,1.6965,0.0028,0,0,0.0593,2905603.842,0.0593,2905603.842,8859649.123,0.1381,0.1792,7.2537,1.2655
B15,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,15,B_August_2013,2013,August,10,Oxidation_Zone,Photic,BZ5,10,0,2.5101,8.2759,10.7859,145.3715,113.1497,61.4205,174.5701,3321.778,2778.5334,910.5272,3689.0606,0.2085,3.3233,6.94,129.9139,-69.362,0.31,7.5741,226.93,1.01,16.302,21.77,0,0,108.85,0,14.0992,106.15,1053146833,0.2568,2703783.903,0,0,0.1921,2022806.071,688405.7971,0.0327,5262.6812,0.0005,0.1921,0,0,0,0.0647,680977.8315,0.0647,680977.8315,344202.8986,0.1555,0.2591,5.2804,1.463
B16b,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,16.2,B_August_2013,2013,August,10.5,Oxidation_Zone,Photic,BZ5,10.5,0.008,0.6059,2.211,2.8169,374.7952,173.627,36.6749,210.3019,3197.2769,2949.262,948.1617,3897.4238,0.2258,3.3667,6.68,133.7072,-69.892,0.32,7.472,226.04,0.535,12.0324,17.31,0,0,86.31,0,29.2336,121.67,1736902513,0.1979,3219172.379,0.0042,73252.3096,0.1296,2250614.064,346296.2963,0.01,6623.4568,0.0004,0.1296,0,0,0,0.0641,895306.006,0.0641,895306.006,173148.1481,0.1843,0.1675,5.8738,1.2206
B17,NA,NA,MiSeq_PE300,P349,run170407,B,p349_Carole_Guggenheim,B,17,B_August_2013,2013,August,11,Oxidation_Zone,Photic,BZ5,11,0,1.2604,2.5876,3.848,324.2151,147.91,67.8133,215.7233,3662.3736,2255.0937,710.1821,2965.2758,0.1987,3.3442,6.5,137.5006,-73.632,0.33,7.4048,225.14,0.06,10.3761,13.63,0,0,86.31,0,37.7617,121.67,7993494018,0.2932,23435586.03,0,0,0.2505,20015439.4,3166666.667,0.0198,35912.2807,0.0004,0.2504,0,0,0,0.0428,3420146.631,0.0428,3420146.631,1583333.333,0.1533,0.1555,12.9384,1.6329
